City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,ribeira grande,38.5167,-28.7,299.37,65,20,4.63,PT,1722455357
138,tonota,-21.4833,27.4833,291.92,43,0,7.17,BW,1722455358
139,zhanjiang,21.2815,110.3427,298.98,90,94,3.07,CN,1722455361
140,n'zeto,-7.2312,12.8666,293.45,88,0,4.39,AO,1722455362
141,nar'yan-mar,67.6713,53.087,289.76,82,86,4.1,RU,1722455363
142,tamanrasset,22.785,5.5228,304.1,18,0,2.06,DZ,1722455365
143,rosso,16.4986,-15.8153,300.85,63,7,6.75,SN,1722455366
144,ishigaki,24.3448,124.1572,300.22,100,40,0.51,JP,1722455367
145,utrik,11.2278,169.8474,301.17,78,82,6.27,MH,1722455369
146,amos,48.5669,-78.1162,297.3,82,10,3.2,CA,1722455263
147,aasiaat,68.7098,-52.8699,275.84,88,69,2.09,GL,1722455371
148,princeville,45.7668,-61.2985,302.97,71,100,3.62,CA,1722455373
149,lompoc,34.6391,-120.4579,300.23,67,2,2.68,US,1722455374
150,mammoth lakes,37.6485,-118.9721,299.71,16,0,6.17,US,1722455375
151,tralee,52.2704,-9.7026,291.29,77,40,2.57,IE,1722455376
152,linxia chengguanzhen,35.6003,103.2064,289.73,48,0,2.42,CN,1722455378
153,worthing,50.8145,-0.3713,295.46,88,3,1.1,GB,1722455167
154,la passe,45.5549,-0.8967,298.28,92,0,3.29,FR,1722455380
155,constantia,44.1833,28.65,295.76,60,0,5.1,RO,1722455382
156,mizdah,31.4451,12.9801,301.62,39,46,5.56,LY,1722455383
157,bonthe,7.5264,-12.505,297.93,88,92,4.98,SL,1722455384
158,san antonio de pale,-1.4014,5.6325,295.64,79,100,4.59,GQ,1722455386
159,gazojak,41.1875,61.4036,304.52,14,0,3.85,TM,1722455387
160,iskateley,67.6803,53.1512,289.7,82,85,4.11,RU,1722455388
161,iwanai,42.9744,140.5089,292.0,97,100,1.16,JP,1722455390
162,albertirsa,47.2431,19.6169,297.06,23,7,2.13,HU,1722455391
163,buala,-8.145,159.5921,298.98,82,32,1.78,SB,1722455392
164,acarau,-2.8856,-40.12,300.15,74,1,8.38,BR,1722455394
165,invercargill,-46.4,168.35,273.72,91,9,0.89,NZ,1722455396
166,flin flon,54.7682,-101.865,300.06,34,20,5.14,CA,1722455398
167,kasempa,-13.4584,25.8338,290.53,20,5,2.5,ZM,1722455399
168,shenjiamen,29.9576,122.298,300.5,90,6,10.41,CN,1722455400
169,jaisalmer,26.9147,70.9181,304.4,67,100,9.04,IN,1722455402
170,eskisehir,39.7767,30.5206,293.08,68,0,3.6,TR,1722455403
171,kasongo-lunda,-6.4667,16.8167,299.3,35,0,0.62,CD,1722455404
172,la'ie,21.6477,-157.9253,300.96,71,100,2.24,US,1722455406
173,enshi,30.3,109.4833,295.03,97,76,0.18,CN,1722455407
174,oconomowoc,43.1117,-88.4993,305.41,57,40,2.57,US,1722455408
175,fort bragg,35.139,-79.006,306.47,57,40,4.12,US,1722455410
176,springbok,-29.6643,17.8865,281.92,15,0,2.83,ZA,1722455411
177,carnarvon,-24.8667,113.6333,292.76,80,0,5.09,AU,1722455412
178,hobyo,5.3505,48.5268,297.64,83,100,12.01,SO,1722455413
179,devonport,-41.1667,146.35,277.88,96,31,3.51,AU,1722455415
180,aswan,24.0934,32.907,311.76,13,0,3.09,EG,1722455416
181,caleta de carquin,-11.0925,-77.6267,293.29,71,7,3.99,PE,1722455417
182,fale old settlement,-9.3852,-171.2468,300.22,73,100,9.63,TK,1722455419
183,plettenberg bay,-34.0527,23.3716,283.18,69,0,2.76,ZA,1722455420
184,hermanus,-34.4187,19.2345,278.6,73,0,1.11,ZA,1722455163
185,babat,-7.1128,112.1635,295.86,94,15,2.16,ID,1722455423
186,vila franca do campo,37.7167,-25.4333,298.38,81,46,2.46,PT,1722455424
187,vadso,70.0744,29.7487,285.64,82,0,8.75,NO,1722455425
188,roxas,11.5853,122.7511,298.23,86,100,1.59,PH,1722455427
189,polyarnyy,69.1989,33.4478,282.84,89,100,7.23,RU,1722455428
190,vorgashor,67.5833,63.95,289.65,86,94,1.19,RU,1722455429
191,al mijlad,11.0333,27.7333,298.53,76,92,5.06,SD,1722455431
192,kone,-21.0595,164.8658,291.43,80,100,2.33,NC,1722455432
193,vikhorevka,56.1201,101.1636,291.92,99,100,1.2,RU,1722455433
194,taro,-8.3862,115.28,295.15,99,62,0.66,ID,1722455435
195,kaohsiung,22.6163,120.3133,300.12,92,75,1.03,TW,1722455436
196,ulladulla,-35.35,150.4667,283.42,67,96,5.24,AU,1722455438
197,ojai,34.4481,-119.2429,305.82,51,11,2.24,US,1722455439
198,tobati,-25.25,-57.0667,300.86,44,5,3.5,PY,1722455440
199,crane,31.3974,-102.3501,310.5,30,0,8.62,US,1722455442
200,parry sound,45.3501,-80.033,298.18,69,0,4.03,CA,1722455195
201,tommot,58.9564,126.2925,283.1,71,100,1.24,RU,1722455444
202,prainha,-1.8,-53.48,307.76,35,41,3.06,BR,1722455446
203,massawa,15.6097,39.45,307.86,55,100,2.89,ER,1722455447
204,susuman,62.7833,148.1667,276.55,79,100,2.87,RU,1722455448
205,maharajganj,27.1333,83.5667,300.6,86,37,1.36,IN,1722455450
206,igarka,67.4667,86.5833,290.54,66,100,5.93,RU,1722455451
207,boda,4.3189,17.4695,297.81,71,90,1.4,CF,1722455452
208,kidal,18.4411,1.4078,300.71,67,79,12.78,ML,1722455453
209,pariaman,-0.619,100.12,298.18,89,86,1.58,ID,1722455455
210,gwadar,25.1216,62.3254,301.65,87,100,4.97,PK,1722455456
211,sitka,57.0531,-135.33,288.09,77,100,2.06,US,1722455457
212,bac lieu,9.285,105.7244,300.23,85,100,3.39,VN,1722455459
213,parang,7.3704,124.2697,296.53,93,98,1.32,PH,1722455460
214,udachny,66.4167,112.4,279.89,70,86,1.49,RU,1722455462
215,cheongsong gun,36.4335,129.057,296.02,99,42,1.37,KR,1722455463
216,phan rang-thap cham,11.5667,108.9833,297.96,90,95,1.2,VN,1722455464
217,kilindoni,-7.9139,39.6668,298.28,73,2,7.28,TZ,1722455465
218,prince rupert,54.3161,-130.3201,287.2,98,100,5.66,CA,1722455468
219,nuuk,64.1835,-51.7216,283.49,57,20,9.26,GL,1722455469
220,sodra sandby,56.5667,16.6167,294.2,64,0,5.52,SE,1722455471
221,lauro de freitas,-12.8944,-38.3272,300.16,61,20,5.14,BR,1722455472
222,rikaze,29.25,88.8833,288.48,49,25,1.79,CN,1722455473
223,nguruka,-5.1092,31.0419,294.46,27,41,1.49,TZ,1722455475
224,port saint john's,-31.6229,29.5448,286.96,65,0,3.45,ZA,1722455476
225,arkhara,49.4212,130.0842,293.41,88,100,2.12,RU,1722455477
226,nago,26.5881,127.9761,302.39,86,7,2.38,JP,1722455479
227,peniche,39.3558,-9.3811,294.93,88,100,6.66,PT,1722455480
228,selfoss,63.9331,-20.9971,285.33,90,100,6.12,IS,1722455482
229,prince albert,53.2001,-105.7677,301.12,39,20,2.57,CA,1722455483
230,bubaque,11.2833,-15.8333,299.69,79,45,7.13,GW,1722455484
231,pleszew,51.8964,17.7855,293.65,48,97,1.53,PL,1722455485
232,pathein,16.7833,94.7333,298.62,95,100,3.19,MM,1722455487
233,ust-nera,64.5667,143.2,275.76,97,100,3.84,RU,1722455488
234,tazacorte,28.629,-17.9293,297.12,81,20,7.72,ES,1722455489
235,plastun,44.7561,136.2939,290.29,100,100,1.53,RU,1722455491
236,harstad,68.799,16.5293,290.16,70,69,2.68,NO,1722455492
237,sanctuary point,-35.1114,150.629,284.68,71,100,5.59,AU,1722455495
238,kailua-kona,19.6406,-155.9956,300.53,79,75,4.63,US,1722455300
239,de aar,-30.6497,24.0123,281.82,11,0,3.54,ZA,1722455497
240,menongue,-14.6585,17.691,289.12,22,22,0.72,AO,1722455499
241,geraldton,-28.7667,114.6,289.38,77,75,8.75,AU,1722455500
242,hithadhoo,-0.6,73.0833,301.86,78,76,6.08,MV,1722455501
243,kalmunai,7.4167,81.8167,301.17,76,100,2.08,LK,1722455502
244,saint-pierre,-21.3393,55.4781,292.97,60,0,2.57,RE,1722455504
245,ad dilam,23.9915,47.1627,310.38,13,58,4.1,SA,1722455505
246,sibolga,1.7427,98.7792,298.99,79,92,0.66,ID,1722455507
247,puerto ayora,-0.7393,-90.3518,301.13,88,80,4.87,EC,1722455508
248,washougal,45.5826,-122.3534,301.69,63,0,1.34,US,1722455509
249,coquimbo,-29.9533,-71.3436,286.0,85,100,2.57,CL,1722455379
250,talnakh,69.4865,88.3972,291.01,44,10,2.28,RU,1722455512
251,gasa,31.5,34.4667,300.27,75,0,1.76,PS,1722455513
252,remire-montjoly,4.9167,-52.2667,305.17,58,1,4.63,GF,1722455514
253,hawaiian paradise park,19.5933,-154.9731,300.22,76,75,2.06,US,1722455516
254,prince george,53.9166,-122.753,289.84,94,100,4.63,CA,1722455517
255,st. john's,47.5649,-52.7093,296.92,93,100,6.38,CA,1722455308
256,jamestown,42.097,-79.2353,303.44,65,40,4.12,US,1722455520
257,atafu village,-8.5421,-172.5159,301.01,75,100,10.19,TK,1722455521
258,bardai,11.65,7.2333,295.67,88,100,2.31,NG,1722455522
259,saldanha,-33.0117,17.9442,281.18,77,0,6.31,ZA,1722455524
260,prado,-17.3411,-39.2208,296.92,75,5,3.66,BR,1722455525
261,yeppoon,-23.1333,150.7333,280.03,83,0,4.71,AU,1722455526
262,grand-lahou,5.1367,-5.0242,296.75,89,99,5.37,CI,1722455528
263,taft,31.7471,54.2088,310.12,15,40,2.06,IR,1722455529
264,isafjordur,66.0755,-23.124,283.41,79,86,2.78,IS,1722455530
265,waiuku,-37.25,174.75,283.33,96,100,2.16,NZ,1722455532
266,najran,17.4924,44.1277,305.51,30,100,5.41,SA,1722455533
267,mount pearl,47.5166,-52.7813,296.46,93,100,6.06,CA,1722455534
268,fiambala,-27.6871,-67.6149,301.64,6,49,4.1,AR,1722455536
269,east london,-33.0153,27.9116,286.52,66,0,6.33,ZA,1722455537
270,dunedin,-45.8742,170.5036,275.82,86,72,2.65,NZ,1722455532
271,wenchang,30.904,118.4887,301.09,77,0,2.36,CN,1722455540
272,den burg,53.0542,4.7972,293.69,82,0,5.14,NL,1722455542
273,usinsk,65.9939,57.5281,288.38,74,12,4.76,RU,1722455543
274,quellon,-43.1167,-73.6167,282.74,91,100,12.06,CL,1722455545
275,asaita,11.5636,41.4394,307.15,40,74,3.74,ET,1722455546
276,hamilton,39.1834,-84.5333,305.73,69,100,5.14,US,1722455547
277,colonia,50.9333,6.95,297.01,80,0,0.51,DE,1722455328
278,ebaye,8.7748,167.7392,301.16,83,0,4.12,MH,1722455550
279,kerikeri,-35.2268,173.9474,281.93,96,97,0.46,NZ,1722455551
280,miramichi,47.0043,-65.4654,304.59,41,100,5.22,CA,1722455552
281,poronaysk,49.2167,143.1167,286.99,95,100,1.39,RU,1722455554
282,flying fish cove,-10.4217,105.6791,297.97,83,40,4.12,CX,1722455555
283,primero de mayo,-32.2552,-58.4228,292.9,73,100,5.17,AR,1722455556
